time_s,engine.rpm,engine.tps,engine.gear,engine.water_temp,engine.oil_temp,gps.lat,gps.lon,gps.speed,imu.lat_g
2.40,1190,1.3,1,87.95,95.17,33.4234000,-111.9265394,0.36,0.000
2.41,1399,99.3,1,,,,,,0.000
2.42,1465,99.3,1,,,,,,0.000
2.43,1370,0.0,1,,,,,,0.000
2.44,1205,1.2,1,,,,,,0.000
2.45,1383,98.6,1,,,,,,0.000
2.46,1228,1.4,1,,,,,,0.000
2.47,1415,99.3,1,,,,,,0.000
2.48,1294,1.3,1,,,,,,0.000
2.49,1234,0.7,1,,,,,,0.000
2.50,1424,100.0,1,87.98,95.00,33.4234000,-111.9265384,0.96,0.000
2.51,1292,0.0,1,,,,,,0.000
2.52,1238,0.0,1,,,,,,0.000
2.53,1154,0.2,1,,,,,,0.000
2.54,1295,100.0,1,,,,,,0.000
2.55,1444,98.8,1,,,,,,0.000
2.56,1266,0.6,1,,,,,,0.000
2.57,1291,99.8,1,,,,,,0.000
2.58,1374,100.0,1,,,,,,0.000
2.59,1447,98.9,1,,,,,,0.000
2.60,1424,46.1,1,88.00,95.17,33.4234000,-111.9265375,1.05,0.000
2.61,1229,0.0,1,,,,,,0.000
2.62,1241,0.2,1,,,,,,0.000
2.63,1268,100.0,1,,,,,,0.000
2.64,1317,100.0,1,,,,,,0.000
2.65,1410,98.8,1,,,,,,0.000
2.66,1343,1.0,1,,,,,,0.000
2.67,1438,99.4,1,,,,,,0.000
2.68,1255,1.4,1,,,,,,0.000
2.69,1387,99.6,1,,,,,,0.000
2.70,1450,99.3,1,88.17,95.26,33.4234000,-111.9265366,1.10,0.000
2.71,1267,0.4,1,,,,,,0.000
2.72,1239,0.0,1,,,,,,0.000
2.73,1229,37.2,1,,,,,,0.000
2.74,1370,98.5,1,,,,,,0.000
2.75,1295,0.0,1,,,,,,0.000
2.76,1263,36.1,1,,,,,,0.000
2.77,1331,98.8,1,,,,,,0.000
2.78,1312,0.4,1,,,,,,0.000
2.79,1192,0.6,1,,,,,,0.000
2.80,1302,99.4,1,88.24,95.01,33.4234000,-111.9265358,0.67,0.000
2.81,1358,99.7,1,,,,,,0.000
2.82,1492,99.6,1,,,,,,0.000
2.83,1284,0.0,1,,,,,,0.000
2.84,1214,0.0,1,,,,,,0.000
2.85,1376,100.0,1,,,,,,0.000
2.86,1317,0.0,1,,,,,,0.000
2.87,1375,100.0,1,,,,,,0.000
2.88,1227,0.0,1,,,,,,0.000
2.89,1332,99.3,1,,,,,,0.000
2.90,1385,72.1,1,88.06,95.21,33.4234000,-111.9265349,0.81,0.000
2.91,1485,98.9,1,,,,,,0.000
2.92,1525,24.7,1,,,,,,0.000
2.93,1330,0.0,1,,,,,,0.000
2.94,1493,100.0,1,,,,,,0.000
2.95,1311,0.0,1,,,,,,0.000
2.96,1349,100.0,1,,,,,,0.000
2.97,1241,0.0,1,,,,,,0.000
2.98,1359,98.9,1,,,,,,0.000
2.99,1293,1.2,1,,,,,,0.000
3.00,1219,0.8,1,87.88,95.23,33.4234000,-111.9265339,0.36,0.000
3.01,1246,100.0,1,,,,,,0.000
3.02,1393,99.8,1,,,,,,0.000
3.03,1386,0.5,1,,,,,,0.000
3.04,1345,0.0,1,,,,,,0.000
3.05,1404,99.2,1,,,,,,0.000
3.06,1468,99.9,1,,,,,,0.000
3.07,1264,0.0,1,,,,,,0.000
3.08,1246,0.0,1,,,,,,0.000
3.09,1352,98.6,1,,,,,,0.000
3.10,1389,100.0,1,88.17,95.10,33.4234000,-111.9265328,0.98,0.000
3.11,1229,0.0,1,,,,,,0.000
3.12,1399,100.0,1,,,,,,0.000
3.13,1546,100.0,1,,,,,,0.000
3.14,1369,0.0,1,,,,,,0.000
3.15,1546,99.0,1,,,,,,0.000
3.16,1494,0.0,1,,,,,,0.000
3.17,1344,0.0,1,,,,,,0.000
3.18,1491,100.0,1,,,,,,0.000
3.19,1313,1.3,1,,,,,,0.000
3.20,1272,0.0,1,87.99,94.91,33.4234000,-111.9265316,0.58,0.000
3.21,1258,23.1,1,,,,,,0.000
3.22,1462,99.0,1,,,,,,0.000
3.23,1450,100.0,1,,,,,,0.000
3.24,1418,1.1,1,,,,,,0.000
3.25,1406,1.1,1,,,,,,0.000
3.26,1288,0.4,1,,,,,,0.000
3.27,1369,99.3,1,,,,,,0.000
3.28,1548,99.6,1,,,,,,0.000
3.29,1468,0.0,1,,,,,,0.000
3.30,1439,29.0,1,87.97,95.16,33.4234000,-111.9265304,1.14,0.000
3.31,1549,100.0,1,,,,,,0.000
3.32,1322,0.0,1,,,,,,0.000
3.33,1285,0.0,1,,,,,,0.000
3.34,1419,98.9,1,,,,,,0.000
3.35,1314,0.0,1,,,,,,0.000
3.36,1225,0.0,1,,,,,,0.000
3.37,1332,100.0,1,,,,,,0.000
3.38,1406,100.0,1,,,,,,0.000
3.39,1366,1.3,1,,,,,,0.000
3.40,1294,0.0,1,88.12,95.25,33.4234000,-111.9265293,0.67,0.000
3.41,1482,99.3,1,,,,,,0.000
3.42,1305,0.2,1,,,,,,0.000
3.43,1360,99.8,1,,,,,,0.000
3.44,1554,99.2,1,,,,,,0.000
3.45,1503,13.0,1,,,,,,0.000
3.46,1356,0.0,1,,,,,,0.000
3.47,1463,100.0,1,,,,,,0.000
3.48,1523,99.1,1,,,,,,0.000
3.49,1440,0.4,1,,,,,,0.000
3.50,1486,99.4,1,87.99,94.93,33.4234000,-111.9265279,1.27,0.000
3.51,1548,100.0,1,,,,,,0.000
3.52,1360,0.7,1,,,,,,0.000
3.53,1411,99.9,1,,,,,,0.000
3.54,1298,0.0,1,,,,,,0.000
3.55,1252,0.7,1,,,,,,0.000
3.56,1475,100.0,1,,,,,,0.000
3.57,1340,0.0,1,,,,,,0.000
3.58,1506,99.3,1,,,,,,0.000
3.59,1487,0.0,1,,,,,,0.000
3.60,1507,99.3,1,87.97,95.21,33.4234001,-111.9265266,1.36,0.000
3.61,1572,99.5,1,,,,,,0.001
3.62,1527,0.0,1,,,,,,0.000
3.63,1555,86.7,1,,,,,,0.000
3.64,1499,0.0,1,,,,,,0.000
3.65,1539,100.0,1,,,,,,0.000
3.66,1413,0.2,1,,,,,,0.000
3.67,1341,0.4,1,,,,,,0.000
3.68,1311,0.0,1,,,,,,0.000
3.69,1247,1.3,1,,,,,,0.000
3.70,1352,98.6,1,87.89,95.19,33.4234001,-111.9265253,0.85,0.000
3.71,1478,100.0,1,,,,,,0.000
3.72,1291,0.0,1,,,,,,0.000
3.73,1497,100.0,1,,,,,,0.000
3.74,1310,1.2,1,,,,,,0.000
3.75,1456,99.1,1,,,,,,0.000
3.76,1276,1.0,1,,,,,,0.000
3.77,1504,100.0,1,,,,,,0.000
3.78,1459,0.0,1,,,,,,0.000
3.79,1318,0.0,1,,,,,,0.000
3.80,1369,98.6,1,87.98,95.03,33.4234001,-111.9265241,0.86,0.000
3.81,1494,99.5,1,,,,,,0.000
3.82,1582,100.0,1,,,,,,0.001
3.83,1444,0.0,1,,,,,,0.000
3.84,1431,0.0,1,,,,,,0.000
3.85,1504,99.1,1,,,,,,0.000
3.86,1528,100.0,1,,,,,,0.001
3.87,1331,0.0,1,,,,,,0.000
3.88,1551,98.5,1,,,,,,0.000
3.89,1436,0.9,1,,,,,,0.000
3.90,1339,0.0,1,88.21,95.02,33.4234001,-111.9265226,0.75,0.000
3.91,1518,99.1,1,,,,,,0.000
3.92,1506,0.0,1,,,,,,0.000
3.93,1462,0.9,1,,,,,,0.000
3.94,1524,100.0,1,,,,,,0.000
3.95,1393,0.0,1,,,,,,0.000
3.96,1546,100.0,1,,,,,,0.001
3.97,1361,0.0,1,,,,,,0.000
3.98,1571,99.6,1,,,,,,0.001
3.99,1555,52.0,1,,,,,,0.001
4.00,1474,0.8,1,88.14,95.06,33.4234001,-111.9265210,1.12,0.000
4.01,1374,1.0,1,,,,,,0.000
4.02,1517,99.0,1,,,,,,0.000
4.03,1449,0.2,1,,,,,,0.000
4.04,1331,1.2,1,,,,,,0.000
4.05,1351,99.4,1,,,,,,0.000
4.06,1540,99.0,1,,,,,,0.000
4.07,1330,0.0,1,,,,,,0.000
4.08,1443,99.5,1,,,,,,0.000
4.09,1386,0.7,1,,,,,,0.000
4.10,1358,0.0,1,88.04,95.32,33.4234001,-111.9265198,0.72,0.000
4.11,1536,99.8,1,,,,,,0.000
4.12,1371,0.0,1,,,,,,0.000
4.13,1360,64.2,1,,,,,,0.000
4.14,1446,100.0,1,,,,,,0.000
4.15,1470,99.9,1,,,,,,0.000
4.16,1355,0.0,1,,,,,,0.000
4.17,1565,99.8,1,,,,,,0.000
4.18,1503,0.0,1,,,,,,0.000
4.19,1392,1.1,1,,,,,,0.000
4.20,1566,100.0,1,88.16,95.18,33.4234001,-111.9265184,1.42,0.001
4.21,1441,0.4,1,,,,,,0.000
4.22,1335,0.8,1,,,,,,0.000
4.23,1539,99.3,1,,,,,,0.000
4.24,1443,0.4,1,,,,,,0.000
4.25,1452,37.5,1,,,,,,0.000
4.26,1380,0.8,1,,,,,,0.000
4.27,1436,100.0,1,,,,,,0.000
4.28,1328,0.0,1,,,,,,0.000
4.29,1544,100.0,1,,,,,,0.000
4.30,1352,0.1,1,88.17,95.14,33.4234001,-111.9265171,0.77,0.000
4.31,1540,100.0,1,,,,,,0.000
4.32,1475,0.0,1,,,,,,0.000
4.33,1530,100.0,1,,,,,,0.000
4.34,1387,0.0,1,,,,,,0.000
4.35,1324,0.0,1,,,,,,0.000
4.36,1320,1.1,1,,,,,,0.000
4.37,1508,99.3,1,,,,,,0.000
4.38,1409,1.3,1,,,,,,0.000
4.39,1475,100.0,1,,,,,,0.000
4.40,1432,0.0,1,88.20,95.26,33.4234001,-111.9265157,1.09,0.000
4.41,1526,100.0,1,,,,,,0.000
4.42,1426,0.0,1,,,,,,0.000
4.43,1550,100.0,1,,,,,,0.000
4.44,1465,0.1,1,,,,,,0.000
4.45,1388,0.0,1,,,,,,0.000
4.46,1546,99.6,1,,,,,,0.001
4.47,1407,0.0,1,,,,,,0.000
4.48,1345,0.0,1,,,,,,0.000
4.49,1398,99.9,1,,,,,,0.000
4.50,1478,100.0,1,88.04,95.31,33.4234001,-111.9265143,1.16,0.000
4.51,1580,100.0,1,,,,,,0.001
4.52,1641,98.9,1,,,,,,0.001
4.53,1609,0.0,1,,,,,,0.001
4.54,1436,0.5,1,,,,,,0.000
4.55,1393,77.9,1,,,,,,0.000
4.56,1429,33.1,1,,,,,,0.000
4.57,1412,0.9,1,,,,,,0.000
4.58,1417,71.9,1,,,,,,0.000
4.59,1596,100.0,1,,,,,,0.001
4.60,1614,79.8,1,88.17,95.15,33.4234001,-111.9265126,1.54,0.001
4.61,1576,1.1,1,,,,,,0.001
4.62,1507,0.0,1,,,,,,0.000
4.63,1388,0.0,1,,,,,,0.000
4.64,1473,100.0,1,,,,,,0.000
4.65,1508,91.7,1,,,,,,0.000
4.66,1369,0.0,1,,,,,,0.000
4.67,1538,100.0,1,,,,,,0.000
4.68,1464,1.4,1,,,,,,0.000
4.69,1382,0.4,1,,,,,,0.000
4.70,1366,0.5,1,88.27,95.08,33.4234001,-111.9265112,0.81,0.000
4.71,1552,100.0,1,,,,,,0.001
4.72,1611,100.0,1,,,,,,0.001
4.73,1543,1.1,1,,,,,,0.001
4.74,1469,0.1,1,,,,,,0.000
4.75,1584,99.8,1,,,,,,0.001
4.76,1494,1.0,1,,,,,,0.000
4.77,1470,0.0,1,,,,,,0.000
4.78,1505,100.0,1,,,,,,0.000
4.79,1679,100.0,1,,,,,,0.001
4.80,1467,0.0,1,88.13,95.20,33.4234002,-111.9265094,1.18,0.000
4.81,1583,100.0,1,,,,,,0.001
4.82,1647,98.6,1,,,,,,0.001
4.83,1428,0.0,1,,,,,,0.000
4.84,1656,100.0,1,,,,,,0.001
4.85,1640,0.3,1,,,,,,0.001
4.86,1569,0.6,1,,,,,,0.001
4.87,1567,27.9,1,,,,,,0.001
4.88,1577,100.0,1,,,,,,0.001
4.89,1380,0.0,1,,,,,,0.000
4.90,1616,100.0,1,88.05,95.28,33.4234002,-111.9265075,1.53,0.001
4.91,1624,99.3,1,,,,,,0.001
4.92,1461,0.0,1,,,,,,0.000
4.93,1517,100.0,1,,,,,,0.000
4.94,1393,0.0,1,,,,,,0.000
4.95,1429,100.0,1,,,,,,0.000
4.96,1599,98.5,1,,,,,,0.001
4.97,1503,1.3,1,,,,,,0.000
4.98,1687,99.7,1,,,,,,0.001
4.99,1505,0.0,1,,,,,,0.000
5.00,1396,0.0,1,88.18,95.00,33.4234002,-111.9265059,1.02,0.000
5.01,1592,100.0,1,,,,,,0.001
5.02,1396,0.7,1,,,,,,0.000
5.03,1471,99.1,1,,,,,,0.000
5.04,1412,0.6,1,,,,,,0.000
5.05,1602,98.8,1,,,,,,0.001
5.06,1595,30.6,1,,,,,,0.001
5.07,1666,100.0,1,,,,,,0.001
5.08,1584,0.0,1,,,,,,0.001
5.09,1611,0.0,1,,,,,,0.001
5.10,1498,0.0,1,88.25,95.15,33.4234002,-111.9265041,1.20,0.000
5.11,1397,0.2,1,,,,,,0.000
5.12,1538,98.9,1,,,,,,0.000
5.13,1635,100.0,1,,,,,,0.001
5.14,1585,0.0,1,,,,,,0.001
5.15,1668,100.0,1,,,,,,0.001
5.16,1559,0.0,1,,,,,,0.001
5.17,1715,100.0,1,,,,,,0.001
5.18,1517,1.4,1,,,,,,0.000
5.19,1665,99.4,1,,,,,,0.001
5.20,1554,0.0,1,88.18,95.20,33.4234002,-111.9265021,1.35,0.000
5.21,1700,99.3,1,,,,,,0.001
5.22,1475,0.0,1,,,,,,0.000
5.23,1603,100.0,1,,,,,,0.001
5.24,1431,0.9,1,,,,,,0.000
5.25,1607,99.3,1,,,,,,0.001
5.26,1690,100.0,1,,,,,,0.001
5.27,1683,98.8,1,,,,,,0.001
5.28,1596,0.0,1,,,,,,0.001
5.29,1668,99.2,1,,,,,,0.001
5.30,1607,0.0,1,87.99,95.06,33.4234002,-111.9265001,1.55,0.001
5.31,1661,99.9,1,,,,,,0.001
5.32,1470,0.8,1,,,,,,0.000
5.33,1484,100.0,1,,,,,,0.000
5.34,1673,99.9,1,,,,,,0.001
5.35,1577,0.0,1,,,,,,0.001
5.36,1478,0.0,1,,,,,,0.000
5.37,1583,100.0,1,,,,,,0.001
5.38,1430,1.5,1,,,,,,0.000
5.39,1506,100.0,1,,,,,,0.000
5.40,1643,100.0,1,88.05,95.17,33.4234003,-111.9264983,1.76,0.001
5.41,1443,1.5,1,,,,,,0.000
5.42,1662,100.0,1,,,,,,0.001
5.43,1514,0.0,1,,,,,,0.000
5.44,1706,100.0,1,,,,,,0.001
5.45,1709,98.6,1,,,,,,0.001
5.46,1513,0.0,1,,,,,,0.000
5.47,1437,1.1,1,,,,,,0.000
5.48,1592,100.0,1,,,,,,0.001
5.49,1446,0.0,1,,,,,,0.000
5.50,1486,99.3,1,88.14,95.22,33.4234003,-111.9264965,1.12,0.000
5.51,1661,99.7,1,,,,,,0.001
5.52,1545,1.4,1,,,,,,0.001
5.53,1723,98.6,1,,,,,,0.001
5.54,1539,1.2,1,,,,,,0.000
5.55,1734,98.6,1,,,,,,0.001
5.56,1689,0.4,1,,,,,,0.001
5.57,1715,98.9,1,,,,,,0.001
5.58,1695,0.5,1,,,,,,0.001
5.59,1529,0.8,1,,,,,,0.000
5.60,1452,0.0,1,87.96,95.16,33.4234003,-111.9264943,1.13,0.000
5.61,1468,98.9,1,,,,,,0.000
5.62,1618,100.0,1,,,,,,0.001
5.63,1466,1.3,1,,,,,,0.000
5.64,1529,84.9,1,,,,,,0.000
5.65,1673,99.8,1,,,,,,0.001
5.66,1529,1.0,1,,,,,,0.000
5.67,1633,99.5,1,,,,,,0.001
5.68,1698,100.0,1,,,,,,0.001
5.69,1490,0.0,1,,,,,,0.000
5.70,1669,98.9,1,88.26,95.08,33.4234003,-111.9264924,1.77,0.001
5.71,1549,0.0,1,,,,,,0.001
5.72,1698,99.0,1,,,,,,0.001
5.73,1586,1.2,1,,,,,,0.001
5.74,1506,0.0,1,,,,,,0.000
5.75,1680,99.1,1,,,,,,0.001
5.76,1583,0.0,1,,,,,,0.001
